sample_id,grid_id,study_area,year,pland,np,pd,ed,lpi,cohesion,enn_mn,ai
BAL_S1,BAL_0120,Baltic States,1990,53.2512,75,0.12000000000000222,20.955200000005096,34.5104,99.09141135121293,262.67265491999865,90.23852324053233
BAL_S1,BAL_0120,Baltic States,2000,49.5664,83,0.13280000000000244,23.11520000000214,31.224,99.09750070449456,266.09098659924433,88.4230176122068
BAL_S1,BAL_0120,Baltic States,2006,47.976,89,0.14240000000000264,23.272000000001267,29.9616,99.03250408200925,269.1261199075695,87.9459269074015
BAL_S1,BAL_0120,Baltic States,2012,47.368,69,0.11040000000000204,22.809600000003034,28.5136,99.08725571941531,281.7789844615382,88.0523231122059
BAL_S1,BAL_0120,Baltic States,2018,46.6752,70,0.11200000000000207,22.971200000003268,28.2336,99.08312224665747,282.2711099121353,87.7762835764284
BAL_S2,BAL_0142,Baltic States,1990,36.99679999999999,82,0.13120000000000243,26.758400000007022,20.532799999999998,98.93189069981301,292.56143363120606,82.05742147537059
BAL_S2,BAL_0142,Baltic States,2000,35.732800000000005,89,0.14240000000000266,26.574400000005152,19.048000000000005,98.79488721033869,288.3390167743926,81.54484188698807
BAL_S2,BAL_0142,Baltic States,2006,38.140800000000006,92,0.14720000000000275,26.017600000005302,21.324800000000003,98.79219775484603,279.38094481016986,83.09793738256592
BAL_S2,BAL_0142,Baltic States,2012,39.075199999999995,89,0.14240000000000264,25.830400000004655,21.9776,98.87225092235762,254.41300891003064,83.63520224186603
BAL_S2,BAL_0142,Baltic States,2018,38.74720000000001,93,0.14880000000000276,25.88480000000389,20.456000000000003,98.72854065016428,256.8198705622313,83.46702132080961
BAL_S3,BAL_0148,Baltic States,1990,37.017509915836314,82,0.13221115088194757,18.156460610753026,24.020508851697784,98.86103686185014,393.23858916829494,87.90283684833604
BAL_S3,BAL_0148,Baltic States,2000,33.436522524265584,98,0.1580084486150105,19.35281029312138,20.412111831285674,98.63382520570696,376.08360339967754,85.7115109136378
BAL_S3,BAL_0148,Baltic States,2006,31.998709989518666,113,0.18221398048859486,20.3160525679265,19.775860678868014,98.62846055667886,367.2089027727326,84.24605390042126
BAL_S3,BAL_0148,Baltic States,2012,28.22704184471499,123,0.19833911150528466,21.109409013946234,10.589373538660002,97.58014924398634,369.1513786709832,81.41315297165059
BAL_S3,BAL_0148,Baltic States,2018,27.31435942917036,126,0.2031766508102916,20.803031524631148,8.173828912359914,96.94581064582275,371.0730835750104,81.08397536960467
BAL_S4,BAL_0194,Baltic States,1990,49.787200000000006,72,0.11520000000000213,22.494399999991455,32.6352,99.22982484617917,343.0258018533667,88.82047801425317
BAL_S4,BAL_0194,Baltic States,2000,47.921600000000005,82,0.13120000000000243,24.033599999990134,30.670399999999997,99.19065318614331,327.87646400626943,87.57451095625892
BAL_S4,BAL_0194,Baltic States,2006,47.1856,74,0.11840000000000218,24.734399999992554,29.604800000000004,99.11240411844149,323.46744021060647,86.99989767727412
BAL_S4,BAL_0194,Baltic States,2012,44.2976,80,0.12800000000000236,24.791999999990292,16.8688,98.71961005427647,317.52429833482677,86.12256763385963
BAL_S4,BAL_0194,Baltic States,2018,44.0816,82,0.13120000000000243,24.76959999999075,16.7536,98.71562418620093,309.1605593325822,86.0653642505021
BAL_S5,BAL_0264,Baltic States,1990,54.265600000000006,25,0.040000000000000736,17.22399999998432,50.93600000000001,99.75298441608447,373.29593768484654,92.12753657560441
BAL_S5,BAL_0264,Baltic States,2000,52.42399999999999,28,0.044800000000000825,18.092799999982656,47.4432,99.69049958591864,357.25781554873697,91.42050424294504
BAL_S5,BAL_0264,Baltic States,2006,44.820800000000006,44,0.0704000000000013,19.39519999998452,39.0144,99.58969728155257,347.93034712922156,89.24781382988274
BAL_S5,BAL_0264,Baltic States,2012,48.512,38,0.06080000000000112,16.23999999998957,43.0688,99.61194108942325,360.7267384442292,91.68864341278135
BAL_S5,BAL_0264,Baltic States,2018,48.7248,38,0.06080000000000112,16.239999999990342,43.2544,99.60914900014981,358.3246941667427,91.7299689543563
ESP_S1,ESP_0412,Spain,1990,17.84714015120854,52,0.08418462335475643,11.772895789142726,6.258802959413298,96.6537214045115,534.9989497094729,83.95457459474311
ESP_S1,ESP_0412,Spain,2000,17.82285612524082,53,0.08580355841927098,11.761563243691137,6.258802959413298,96.63096824848128,530.2412848559851,83.96001467351431
ESP_S1,ESP_0412,Spain,2006,30.700106861824423,130,0.2104854117418457,22.54136847899246,19.716006606003692,98.86063493783209,280.5453324900022,81.97418052382723
ESP_S1,ESP_0412,Spain,2012,27.717690489297624,137,0.22181924160486816,22.60937145816956,13.75441209805382,98.25104146826514,264.546486910918,79.92406404520838
ESP_S1,ESP_0412,Spain,2018,27.40843884589229,140,0.22667659726044925,22.50574787085045,13.700981185842426,98.14126414308063,264.4775188548894,79.78865902664087
ESP_S2,ESP_0508,Spain,1990,55.0208,22,0.0352,18.00319999999478,48.4208,99.70505658419839,452.0050642052634,91.96257583509977
ESP_S2,ESP_0508,Spain,2000,54.9616,22,0.0352,18.05439999999478,48.361599999999996,99.70503591397222,452.0050642052634,91.93045616191773
ESP_S2,ESP_0508,Spain,2006,66.2608,79,0.12639999999999998,21.468799999998136,64.632,99.8474765833099,218.6431546671289,92.02965371642117
ESP_S2,ESP_0508,Spain,2012,65.984,75,0.12,21.705599999998036,64.3888,99.84955569269286,218.5328867497485,91.90476770679761
ESP_S2,ESP_0508,Spain,2018,65.696,75,0.12,21.724799999998037,64.1008,99.84836973537983,218.5328867497485,91.86063587634922
ESP_S3,ESP_0571,Spain,1990,19.561600000000002,77,0.1232,11.38399999999166,4.9856,95.68567344741989,528.3488279363777,85.46842756912918
ESP_S3,ESP_0571,Spain,2000,19.561600000000002,77,0.1232,11.38399999999166,4.9856,95.68567344741989,528.3488279363777,85.46842756912918
ESP_S3,ESP_0571,Spain,2006,32.452799999999996,162,0.2592,21.659199999991515,7.158399999999999,97.22852481259358,246.69114131925775,83.19306869243563
ESP_S3,ESP_0571,Spain,2012,30.0304,159,0.25439999999999996,20.375999999992057,7.127999999999999,96.6496356625861,252.5612846711955,82.9218548733362
ESP_S3,ESP_0571,Spain,2018,29.9856,160,0.256,20.391999999992034,7.127999999999999,96.6263138446672,252.23277664201024,82.89883895936357
ESP_S4,ESP_0574,Spain,1990,56.745599999999996,31,0.049600000000000005,20.69279999998562,53.681599999999996,99.78761027511692,299.79085489403917,90.97583445538942
ESP_S4,ESP_0574,Spain,2000,56.61279999999999,34,0.0544,20.835199999985534,53.371199999999995,99.7826175487178,290.98577946216653,90.89204279077697
ESP_S4,ESP_0574,Spain,2006,72.7328,32,0.051199999999999996,18.236799999990605,72.35679999999999,99.91550211792438,242.6761648607501,93.76277779619622
ESP_S4,ESP_0574,Spain,2012,72.7328,32,0.051199999999999996,18.239999999990626,72.35679999999999,99.91550448758345,242.6761648607501,93.76167268949817
ESP_S4,ESP_0574,Spain,2018,72.6976,32,0.051199999999999996,18.265599999990627,72.3216,99.9154052078541,242.6761648607501,93.74979269169108
ESP_S5,ESP_0602,Spain,1990,32.2656,56,0.0896,16.96479999998935,7.1488,97.95002839887303,355.81238529598676,87.05271306215198
ESP_S5,ESP_0602,Spain,2000,32.230399999999996,56,0.0896,16.929599999989176,7.1488,97.95092621102216,355.81238529598676,87.06379362063794
ESP_S5,ESP_0602,Spain,2006,44.0096,87,0.1392,21.892799999993027,21.787200000000002,99.18646148607222,247.32966137728783,87.68471104608632
ESP_S5,ESP_0602,Spain,2012,43.6288,87,0.1392,22.00799999999293,21.8368,99.17971750357829,247.05831887444435,87.51960151277557
ESP_S5,ESP_0602,Spain,2018,43.4032,87,0.1392,22.023999999992903,21.6864,99.17530184801147,247.05831887444435,87.44343891402715
