sample_id,grid_id,study_area,year,metric,value,name,unit,fragmentation_interpretation
ESP_S2,ESP_0508,Spain,2006,pd,0.12639999999999998,Patch density,patches / 100 ha,Area-standardized patch subdivision
ESP_S2,ESP_0508,Spain,2006,ed,21.468799999998136,Edge density,m / ha,Density of forest-matrix edges
ESP_S2,ESP_0508,Spain,2006,lpi,64.632,Largest patch index,%,Dominance of the largest forest patch
ESP_S2,ESP_0508,Spain,2006,cohesion,99.8474765833099,Patch cohesion index,%,Structural connectedness
ESP_S2,ESP_0508,Spain,2006,enn_mn,218.6431546671289,Mean nearest-neighbour distance,m,Isolation among forest patches
ESP_S2,ESP_0508,Spain,2006,ai,92.02965371642117,Aggregation index,%,Aggregation of adjacent forest cells
ESP_S2,ESP_0508,Spain,2012,pland,65.984,Percentage of landscape,%,Forest habitat amount
ESP_S2,ESP_0508,Spain,2012,np,75,Number of patches,count,Absolute patch subdivision
ESP_S2,ESP_0508,Spain,2012,pd,0.12,Patch density,patches / 100 ha,Area-standardized patch subdivision
ESP_S2,ESP_0508,Spain,2012,ed,21.705599999998036,Edge density,m / ha,Density of forest-matrix edges
ESP_S2,ESP_0508,Spain,2012,lpi,64.3888,Largest patch index,%,Dominance of the largest forest patch
ESP_S2,ESP_0508,Spain,2012,cohesion,99.84955569269286,Patch cohesion index,%,Structural connectedness
ESP_S2,ESP_0508,Spain,2012,enn_mn,218.5328867497485,Mean nearest-neighbour distance,m,Isolation among forest patches
ESP_S2,ESP_0508,Spain,2012,ai,91.90476770679761,Aggregation index,%,Aggregation of adjacent forest cells
ESP_S2,ESP_0508,Spain,2018,pland,65.696,Percentage of landscape,%,Forest habitat amount
ESP_S2,ESP_0508,Spain,2018,np,75,Number of patches,count,Absolute patch subdivision
ESP_S2,ESP_0508,Spain,2018,pd,0.12,Patch density,patches / 100 ha,Area-standardized patch subdivision
ESP_S2,ESP_0508,Spain,2018,ed,21.724799999998037,Edge density,m / ha,Density of forest-matrix edges
ESP_S2,ESP_0508,Spain,2018,lpi,64.1008,Largest patch index,%,Dominance of the largest forest patch
ESP_S2,ESP_0508,Spain,2018,cohesion,99.84836973537983,Patch cohesion index,%,Structural connectedness
ESP_S2,ESP_0508,Spain,2018,enn_mn,218.5328867497485,Mean nearest-neighbour distance,m,Isolation among forest patches
ESP_S2,ESP_0508,Spain,2018,ai,91.86063587634922,Aggregation index,%,Aggregation of adjacent forest cells
ESP_S3,ESP_0571,Spain,1990,pland,19.561600000000002,Percentage of landscape,%,Forest habitat amount
ESP_S3,ESP_0571,Spain,1990,np,77,Number of patches,count,Absolute patch subdivision
ESP_S3,ESP_0571,Spain,1990,pd,0.1232,Patch density,patches / 100 ha,Area-standardized patch subdivision
ESP_S3,ESP_0571,Spain,1990,ed,11.38399999999166,Edge density,m / ha,Density of forest-matrix edges
ESP_S3,ESP_0571,Spain,1990,lpi,4.9856,Largest patch index,%,Dominance of the largest forest patch
ESP_S3,ESP_0571,Spain,1990,cohesion,95.68567344741989,Patch cohesion index,%,Structural connectedness
ESP_S3,ESP_0571,Spain,1990,enn_mn,528.3488279363777,Mean nearest-neighbour distance,m,Isolation among forest patches
ESP_S3,ESP_0571,Spain,1990,ai,85.46842756912918,Aggregation index,%,Aggregation of adjacent forest cells
ESP_S3,ESP_0571,Spain,2000,pland,19.561600000000002,Percentage of landscape,%,Forest habitat amount
ESP_S3,ESP_0571,Spain,2000,np,77,Number of patches,count,Absolute patch subdivision
ESP_S3,ESP_0571,Spain,2000,pd,0.1232,Patch density,patches / 100 ha,Area-standardized patch subdivision
ESP_S3,ESP_0571,Spain,2000,ed,11.38399999999166,Edge density,m / ha,Density of forest-matrix edges
ESP_S3,ESP_0571,Spain,2000,lpi,4.9856,Largest patch index,%,Dominance of the largest forest patch
ESP_S3,ESP_0571,Spain,2000,cohesion,95.68567344741989,Patch cohesion index,%,Structural connectedness
ESP_S3,ESP_0571,Spain,2000,enn_mn,528.3488279363777,Mean nearest-neighbour distance,m,Isolation among forest patches
ESP_S3,ESP_0571,Spain,2000,ai,85.46842756912918,Aggregation index,%,Aggregation of adjacent forest cells
ESP_S3,ESP_0571,Spain,2006,pland,32.452799999999996,Percentage of landscape,%,Forest habitat amount
ESP_S3,ESP_0571,Spain,2006,np,162,Number of patches,count,Absolute patch subdivision
ESP_S3,ESP_0571,Spain,2006,pd,0.2592,Patch density,patches / 100 ha,Area-standardized patch subdivision
ESP_S3,ESP_0571,Spain,2006,ed,21.659199999991515,Edge density,m / ha,Density of forest-matrix edges
ESP_S3,ESP_0571,Spain,2006,lpi,7.158399999999999,Largest patch index,%,Dominance of the largest forest patch
ESP_S3,ESP_0571,Spain,2006,cohesion,97.22852481259358,Patch cohesion index,%,Structural connectedness
ESP_S3,ESP_0571,Spain,2006,enn_mn,246.69114131925775,Mean nearest-neighbour distance,m,Isolation among forest patches
ESP_S3,ESP_0571,Spain,2006,ai,83.19306869243563,Aggregation index,%,Aggregation of adjacent forest cells
ESP_S3,ESP_0571,Spain,2012,pland,30.0304,Percentage of landscape,%,Forest habitat amount
ESP_S3,ESP_0571,Spain,2012,np,159,Number of patches,count,Absolute patch subdivision
ESP_S3,ESP_0571,Spain,2012,pd,0.25439999999999996,Patch density,patches / 100 ha,Area-standardized patch subdivision
ESP_S3,ESP_0571,Spain,2012,ed,20.375999999992057,Edge density,m / ha,Density of forest-matrix edges
ESP_S3,ESP_0571,Spain,2012,lpi,7.127999999999999,Largest patch index,%,Dominance of the largest forest patch
ESP_S3,ESP_0571,Spain,2012,cohesion,96.6496356625861,Patch cohesion index,%,Structural connectedness
ESP_S3,ESP_0571,Spain,2012,enn_mn,252.5612846711955,Mean nearest-neighbour distance,m,Isolation among forest patches
ESP_S3,ESP_0571,Spain,2012,ai,82.9218548733362,Aggregation index,%,Aggregation of adjacent forest cells
ESP_S3,ESP_0571,Spain,2018,pland,29.9856,Percentage of landscape,%,Forest habitat amount
ESP_S3,ESP_0571,Spain,2018,np,160,Number of patches,count,Absolute patch subdivision
ESP_S3,ESP_0571,Spain,2018,pd,0.256,Patch density,patches / 100 ha,Area-standardized patch subdivision
ESP_S3,ESP_0571,Spain,2018,ed,20.391999999992034,Edge density,m / ha,Density of forest-matrix edges
ESP_S3,ESP_0571,Spain,2018,lpi,7.127999999999999,Largest patch index,%,Dominance of the largest forest patch
ESP_S3,ESP_0571,Spain,2018,cohesion,96.6263138446672,Patch cohesion index,%,Structural connectedness
ESP_S3,ESP_0571,Spain,2018,enn_mn,252.23277664201024,Mean nearest-neighbour distance,m,Isolation among forest patches
ESP_S3,ESP_0571,Spain,2018,ai,82.89883895936357,Aggregation index,%,Aggregation of adjacent forest cells
ESP_S4,ESP_0574,Spain,1990,pland,56.745599999999996,Percentage of landscape,%,Forest habitat amount
ESP_S4,ESP_0574,Spain,1990,np,31,Number of patches,count,Absolute patch subdivision
ESP_S4,ESP_0574,Spain,1990,pd,0.049600000000000005,Patch density,patches / 100 ha,Area-standardized patch subdivision
ESP_S4,ESP_0574,Spain,1990,ed,20.69279999998562,Edge density,m / ha,Density of forest-matrix edges
ESP_S4,ESP_0574,Spain,1990,lpi,53.681599999999996,Largest patch index,%,Dominance of the largest forest patch
ESP_S4,ESP_0574,Spain,1990,cohesion,99.78761027511692,Patch cohesion index,%,Structural connectedness
ESP_S4,ESP_0574,Spain,1990,enn_mn,299.79085489403917,Mean nearest-neighbour distance,m,Isolation among forest patches
ESP_S4,ESP_0574,Spain,1990,ai,90.97583445538942,Aggregation index,%,Aggregation of adjacent forest cells
ESP_S4,ESP_0574,Spain,2000,pland,56.61279999999999,Percentage of landscape,%,Forest habitat amount
ESP_S4,ESP_0574,Spain,2000,np,34,Number of patches,count,Absolute patch subdivision
ESP_S4,ESP_0574,Spain,2000,pd,0.0544,Patch density,patches / 100 ha,Area-standardized patch subdivision
ESP_S4,ESP_0574,Spain,2000,ed,20.835199999985534,Edge density,m / ha,Density of forest-matrix edges
ESP_S4,ESP_0574,Spain,2000,lpi,53.371199999999995,Largest patch index,%,Dominance of the largest forest patch
ESP_S4,ESP_0574,Spain,2000,cohesion,99.7826175487178,Patch cohesion index,%,Structural connectedness
ESP_S4,ESP_0574,Spain,2000,enn_mn,290.98577946216653,Mean nearest-neighbour distance,m,Isolation among forest patches
ESP_S4,ESP_0574,Spain,2000,ai,90.89204279077697,Aggregation index,%,Aggregation of adjacent forest cells
ESP_S4,ESP_0574,Spain,2006,pland,72.7328,Percentage of landscape,%,Forest habitat amount
ESP_S4,ESP_0574,Spain,2006,np,32,Number of patches,count,Absolute patch subdivision
ESP_S4,ESP_0574,Spain,2006,pd,0.051199999999999996,Patch density,patches / 100 ha,Area-standardized patch subdivision
ESP_S4,ESP_0574,Spain,2006,ed,18.236799999990605,Edge density,m / ha,Density of forest-matrix edges
ESP_S4,ESP_0574,Spain,2006,lpi,72.35679999999999,Largest patch index,%,Dominance of the largest forest patch
ESP_S4,ESP_0574,Spain,2006,cohesion,99.91550211792438,Patch cohesion index,%,Structural connectedness
ESP_S4,ESP_0574,Spain,2006,enn_mn,242.6761648607501,Mean nearest-neighbour distance,m,Isolation among forest patches
ESP_S4,ESP_0574,Spain,2006,ai,93.76277779619622,Aggregation index,%,Aggregation of adjacent forest cells
ESP_S4,ESP_0574,Spain,2012,pland,72.7328,Percentage of landscape,%,Forest habitat amount
ESP_S4,ESP_0574,Spain,2012,np,32,Number of patches,count,Absolute patch subdivision
ESP_S4,ESP_0574,Spain,2012,pd,0.051199999999999996,Patch density,patches / 100 ha,Area-standardized patch subdivision
ESP_S4,ESP_0574,Spain,2012,ed,18.239999999990626,Edge density,m / ha,Density of forest-matrix edges
ESP_S4,ESP_0574,Spain,2012,lpi,72.35679999999999,Largest patch index,%,Dominance of the largest forest patch
ESP_S4,ESP_0574,Spain,2012,cohesion,99.91550448758345,Patch cohesion index,%,Structural connectedness
ESP_S4,ESP_0574,Spain,2012,enn_mn,242.6761648607501,Mean nearest-neighbour distance,m,Isolation among forest patches
ESP_S4,ESP_0574,Spain,2012,ai,93.76167268949817,Aggregation index,%,Aggregation of adjacent forest cells
ESP_S4,ESP_0574,Spain,2018,pland,72.6976,Percentage of landscape,%,Forest habitat amount
ESP_S4,ESP_0574,Spain,2018,np,32,Number of patches,count,Absolute patch subdivision
ESP_S4,ESP_0574,Spain,2018,pd,0.051199999999999996,Patch density,patches / 100 ha,Area-standardized patch subdivision
ESP_S4,ESP_0574,Spain,2018,ed,18.265599999990627,Edge density,m / ha,Density of forest-matrix edges
ESP_S4,ESP_0574,Spain,2018,lpi,72.3216,Largest patch index,%,Dominance of the largest forest patch
ESP_S4,ESP_0574,Spain,2018,cohesion,99.9154052078541,Patch cohesion index,%,Structural connectedness
ESP_S4,ESP_0574,Spain,2018,enn_mn,242.6761648607501,Mean nearest-neighbour distance,m,Isolation among forest patches
ESP_S4,ESP_0574,Spain,2018,ai,93.74979269169108,Aggregation index,%,Aggregation of adjacent forest cells
ESP_S5,ESP_0602,Spain,1990,pland,32.2656,Percentage of landscape,%,Forest habitat amount
ESP_S5,ESP_0602,Spain,1990,np,56,Number of patches,count,Absolute patch subdivision
